agegrp,crudeNumber,crudeRate,ageAdjustedRate,appliedFilters
0 to 4,"37,654",17.1,17.1,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
5 to 9,"10,621",4.8,4.8,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
10 to 14,"15,794",6.9,6.9,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
15 to 19,"92,746",39.0,39.0,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
20 to 24,"164,679",68.1,68.1,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
25 to 29,"160,967",68.4,68.4,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
30 to 34,"147,621",65.6,65.6,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
35 to 39,"143,452",64.3,64.3,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
40 to 44,"154,329",66.9,66.9,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
45 to 49,"177,299",73.4,73.4,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
50 to 54,"180,672",74.6,74.6,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
55 to 59,"151,960",68.4,68.4,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
60 to 64,"110,622",59.1,59.1,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
65 to 69,"84,427",57.3,57.3,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
70 to 74,"75,090",68.7,68.7,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
75 to 79,"83,879",100.1,100.1,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
80 to 84,"102,671",162.2,162.2,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
85 and up,"222,270",356.3,356.3,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Unknown,527,0.0,0.0,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"